id,logId,categoryId,factionId,level,name,typeId,rarityId,description,active,xoID,quantity,releaseId,accuracy,addsEnergy,blastPower,cabinPower,damage,durability,energyDrain,featureBlastPercent,featureBulletPercent,featureFirePercent,featureMeleePercent,featurePassthroughPercent,fireRate,fuelReserves,increasesDurability,increasesReputationPercent,mass,massLimit,maxAmmo,maxCabinSpeed,maxChassisSpeed,perks,power,ps,range,timeToOverheating,tonnage,topSpeed,marketDef,userId
32,,2,3,5,AC72 Whirlwind,3,3,,true,32,1,26,6.4,0,0,0,7.1,391,5,0,0,0,0,0,3.1,0,0,0,486,0,0,0,0,,0,1375,8.1,4.9,0,0,CarPart_Gun_Cannon_epic,clmpbq6vp0000mtx4cyyep6et
33,,2,3,12,Reaper,36,4,,true,33,1,27,7.1,0,0,0,4.5,520,6,0,0,0,0,0,10,0,0,0,603,0,390,0,0,,0,2400,4,0,0,0,CarPart_Gun_CannonMinigun_legend,clmpbq6vp0000mtx4cyyep6et
34,,2,1,0,AC43 Rapier,3,2,,true,34,1,29,5.9,0,0,0,6,113,4,0,0,0,0,0,3,0,0,0,180,0,0,0,0,,0,520,8,6,0,0,CarPart_Gun_Cannon_rare,clmpbq6vp0000mtx4cyyep6et
38,,2,2,5,Cricket,32,3,,true,38,1,26,4,0,0,0,10,150,5,0,0,0,0,0,2.2,0,0,0,288,0,1,0,0,,0,1375,8.1,0,0,0,CarPart_AutoGuidedCourseGun_epic,clmpbq6vp0000mtx4cyyep6et
39,,1,4,1,Trucker,56,2,,true,39,1,26,0,9,0,8,0,410,0,0,0,0,0,0,0,0,0,0,3200,16000,0,60,0,,0,750,0,0,6000,0,Chassis_Kamaz,clmpbq6vp0000mtx4cyyep6et
40,,2,3,5,Spectre-2,18,3,,true,40,1,26,4.1,0,0,0,3.5,186,4,0,0,0,0,0,6.9,0,0,0,216,0,0,0,0,,0,1100,3.1,5.5,0,0,CarPart_Gun_Machinegun_epic,clmpbq6vp0000mtx4cyyep6et
41,,3,4,4,PU-1 Charge,14,6,,true,41,1,26,0,2,2,0,0,164,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,,0,410,0,0,0,0,CarPart_PowerGiver_epic,clmpbq6vp0000mtx4cyyep6et
42,,4,4,8,Armored track,29,3,,true,42,1,26,0,0,0,0,0,1300,0,25,25,25,50,0,0,0,0,0,1440,0,0,0,60,,-40,625,0,0,4000,0,CarPart_TankTrackBig_legend,clmpbq6vp0000mtx4cyyep6et
43,,8,99,0,Copper x100,25,1,,true,43,100,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Res_Platinum_100,clmpbq6vp0000mtx4cyyep6et
44,,2,2,1,Wasp,32,2,,true,44,1,29,4.2,0,0,0,5,55,4,0,0,0,0,0,5.4,0,0,0,90,0,16,0,0,,0,520,7,0,0,0,CarPart_AutoGuidedCourseGun_rare,clmpbq6vp0000mtx4cyyep6et
45,,2,4,5,Executioner 88mm,6,3,,true,45,1,26,4.1,0,0,0,6.1,495,5,0,0,0,0,0,3.1,0,0,0,864,0,10,0,0,,0,1375,7.1,0,0,0,CarPart_Gun_BigCannon_EX_epic,clmpbq6vp0000mtx4cyyep6et
46,,2,2,12,Harvester,19,4,,true,46,1,26,0,0,0,0,7.2,765,4,30,0,0,75,0,0,0,0,0,940,0,0,0,0,,0,1600,0,0,0,0,CarPart_Harvester_legend,clmpbq6vp0000mtx4cyyep6et
47,,2,4,12,ZS-46 Mammoth,31,4,,true,47,1,33,4.6,0,0,0,8.6,1284,6,0,0,0,0,0,4.3,0,0,0,2633,0,10,0,0,,0,2400,6,0,0,0,CarPart_Gun_BigCannon_Free_legend,clmpbq6vp0000mtx4cyyep6et
48,,3,2,8,Gasgen,14,3,,true,48,1,26,0,3,8.1,0,0,36,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,,0,870,0,0,0,0,CarPart_PowerGiverExplosive_legend,clmpbq6vp0000mtx4cyyep6et
49,,2,1,20,Scorpion,22,5,,true,49,1,32,10,0,0,0,9.1,552,6,0,0,0,0,0,4.9,0,0,0,900,0,12,0,0,,0,3600,9,0,0,0,CarPart_Gun_SniperCrossbow,clmpbq6vp0000mtx4cyyep6et
51,,2,4,1,Borer,19,2,,true,51,1,26,0,0,0,0,2,330,2,30,0,0,75,0,0,0,0,0,250,0,0,0,0,,0,260,0,0,0,0,CarPart_Drill_epic,clmpbq6vp0000mtx4cyyep6et
52,,3,3,4,Ampere,14,6,,true,52,1,26,0,2,3.1,0,0,30,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,,0,410,0,0,0,0,CarPart_PowerGiverExplosive_epic,clmpbq6vp0000mtx4cyyep6et
53,,8,99,0,Scrap Metal x100,25,1,,true,53,100,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Res_Scrap_Common_100,clmpbq6vp0000mtx4cyyep6et
54,,2,4,9,Hurricane,89,4,,true,54,1,26,9,0,0,0,10,175,6,0,0,0,0,0,1,0,0,0,288,0,8,0,0,,0,2400,10,0,0,0,CarPart_HomingMissileLauncherBurstR_legend,clmpbq6vp0000mtx4cyyep6et
55,,2,3,9,Retcher,15,4,,true,55,1,32,3.1,0,0,0,8.2,213,6,0,0,0,0,0,1.8,0,0,0,234,0,60,0,0,,0,2400,4,4.3,0,0,CarPart_Gun_GrenadeLauncher_Shotgun,clmpbq6vp0000mtx4cyyep6et
56,,2,1,20,Porcupine,20,5,,true,56,1,26,3.1,0,0,0,9,384,3,0,0,0,0,0,7.6,0,0,0,720,0,16,0,0,,0,1800,1,0,0,0,CarPart_Gun_MineLauncher,clmpbq6vp0000mtx4cyyep6et
57,,8,99,0,Scrap Metal x1000,25,1,,true,57,1000,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Res_Scrap_Common_1000,clmpbq6vp0000mtx4cyyep6et
59,,4,2,2,Studded wheel ST,75,2,,true,59,1,26,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,,-10,60,0,0,215,0,CarPart_WheelSmallSpiked_S,clmpbq6vp0000mtx4cyyep6et
60,,1,2,1,Growl,55,2,,true,60,1,26,0,11,0,3.1,0,230,0,0,0,0,0,0,0,0,0,0,450,6000,0,100,0,,0,750,0,0,3000,0,Chassis_Basic,clmpbq6vp0000mtx4cyyep6et
61,,2,1,0,Little Boy 6LB,31,2,,true,61,1,29,4.5,0,0,0,6,422,6,0,0,0,0,0,5.2,0,0,0,837,0,12,0,0,,0,780,6,0,0,0,CarPart_Gun_BigCannon_Free_rare,clmpbq6vp0000mtx4cyyep6et
62,,4,2,8,Small track,29,3,,true,62,1,26,0,0,0,0,0,300,0,0,25,25,50,0,0,0,0,0,285,0,0,0,90,,-12,230,0,0,935,0,CarPart_TankTrackBig_epic,clmpbq6vp0000mtx4cyyep6et
63,,4,3,8,Hardened track,29,3,,true,63,1,26,0,0,0,0,0,600,0,0,25,25,50,0,0,0,0,0,400,0,0,0,75,,-22,300,0,0,1850,0,CarPart_TankTrack_rare,clmpbq6vp0000mtx4cyyep6et
64,,1,3,1,Wyvern,5,2,,true,64,1,26,0,10,0,4.6,0,290,0,0,0,0,0,0,0,0,0,0,800,9000,0,80,0,,0,750,0,0,4000,0,Chassis_Wyvern,clmpbq6vp0000mtx4cyyep6et
65,,3,4,3,Razorback,12,6,,true,65,1,26,0,0,0,0,0,370,1,0,0,0,0,0,0,0,0,0,400,2000,0,4,0,,30,190,0,0,0,120,CarPart_Engine_rare,clmpbq6vp0000mtx4cyyep6et
66,,3,2,7,Shiver,65,3,,true,66,1,26,0,0,0,0,0,115,1,0,0,0,0,0,0,0,0,0,96,0,0,0,0,,0,275,0,0,0,0,CarPart_Cooler_epic,clmpbq6vp0000mtx4cyyep6et
68,,3,1,0,Ammo pack,1,2,,true,68,1,26,0,0,2.6,0,0,95,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,,0,115,0,0,0,0,CarPart_ModuleAmmo_rare,clmpbq6vp0000mtx4cyyep6et
69,,3,1,0,TS-1 Horizon,33,2,,true,69,1,26,0,0,0,0,0,36,1,0,0,0,0,0,0,0,0,0,36,0,0,0,0,,0,130,0,0,0,0,CarPart_Sniper_rare,clmpbq6vp0000mtx4cyyep6et
70,,2,4,1,Judge 76mm,6,2,,true,70,1,31,4,0,0,0,3.8,320,5,0,0,0,0,0,5.2,0,0,0,585,0,10,0,0,,0,650,7,0,0,0,CarPart_Gun_BigCannon_EX_rare,clmpbq6vp0000mtx4cyyep6et
71,,3,3,6,Cheetah,12,3,,true,71,1,26,0,0,0,0,0,223,1,0,0,0,0,0,0,0,0,0,150,1000,0,20,0,,25,275,0,0,3000,120,CarPart_Engine_epic,clmpbq6vp0000mtx4cyyep6et
72,,2,2,4,Boom,76,6,,true,72,1,26,0,0,0,0,5.1,31,1,0,0,0,0,0,0,0,0,0,45,0,0,0,0,,0,190,0,0,0,0,CarPart_SpearExplosive,clmpbq6vp0000mtx4cyyep6et
73,,2,2,4,Buzzsaw,19,6,,true,73,1,26,0,0,0,0,3.4,279,2,30,0,0,75,0,0,0,0,0,125,0,0,0,0,,0,380,0,0,0,0,CarPart_Roundsaw_rare,clmpbq6vp0000mtx4cyyep6et
74,,2,3,1,ST-M23 Defender,13,2,,true,74,1,26,3.7,0,0,0,2.7,140,3,0,0,0,0,0,6.9,0,0,0,144,0,0,0,0,,0,390,3.1,5.5,0,0,CarPart_Gun_Machinegun_Frontal,clmpbq6vp0000mtx4cyyep6et
75,,3,4,6,Expanded ammo pack,1,3,,true,75,1,26,0,0,4.1,0,0,264,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,,0,216,0,0,0,0,CarPart_ModuleAmmoBig_epic,clmpbq6vp0000mtx4cyyep6et
77,,3,2,2,Big G,14,2,,true,77,1,26,0,1,1,0,0,101,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,,0,150,0,0,0,0,CarPart_PowerGiver_rare,clmpbq6vp0000mtx4cyyep6et
78,,3,1,0,CS Taymyr,65,2,,true,78,1,26,0,0,0,0,0,63,1,0,0,0,0,0,0,0,0,0,64,0,0,0,0,,0,130,0,0,0,0,CarPart_Cooler_rare,clmpbq6vp0000mtx4cyyep6et
79,,2,3,6,MD-3 Owl,9,3,,true,79,1,26,0,0,0,0,0,161,4,0,0,0,0,0,0,0,0,0,128,0,4,0,0,,0,1100,0,0,0,0,CarPart_Quadrocopter_epic,clmpbq6vp0000mtx4cyyep6et
80,,3,2,3,Hardcore,12,6,,true,80,1,26,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,50,500,0,9,0,,10,157,0,0,0,120,CarPart_EngineMini_rare,clmpbq6vp0000mtx4cyyep6et
81,,8,99,0,Container 'DIY',8,1,,true,81,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Chest_White,clmpbq6vp0000mtx4cyyep6et
82,,3,3,8,Chameleon Mk2,28,3,,true,82,1,26,0,0,0,0,0,84,1,0,0,0,0,0,0,0,0,0,60,0,0,0,0,,0,275,0,0,0,0,CarPart_Stealth_legend,clmpbq6vp0000mtx4cyyep6et
83,,4,4,3,Twin wheel ST,73,6,,true,83,1,26,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,,-20,90,0,0,900,0,CarPart_WheelDouble_RS_epic,clmpbq6vp0000mtx4cyyep6et
84,,2,2,6,Lancelot,76,3,,true,84,1,26,0,0,0,0,8,57,1,0,0,0,0,0,0,0,0,0,144,0,0,0,0,,0,275,0,0,0,0,CarPart_LanceExplosive,clmpbq6vp0000mtx4cyyep6et
85,,8,99,0,Wires x100,25,1,,true,85,100,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Res_Scrap_Rare_100,clmpbq6vp0000mtx4cyyep6et
86,,3,3,7,RN Seal,64,3,,true,86,1,26,0,0,0,0,0,77,1,0,0,0,0,0,0,0,0,0,64,0,0,0,0,,0,275,0,0,0,0,CarPart_Radiator_epic,clmpbq6vp0000mtx4cyyep6et
87,,4,2,2,Chained wheel ST,75,2,,true,87,1,26,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,,-12,90,0,0,300,0,CarPart_WheelSmallChains_S,clmpbq6vp0000mtx4cyyep6et
88,,1,1,0,WWT1,5,1,,true,88,1,26,0,8,0,5,0,310,0,0,0,0,0,0,0,0,0,0,1200,9000,0,70,0,,0,250,0,0,3000,0,Chassis_VWT1,clmpbq6vp0000mtx4cyyep6et
89,,8,1,0,PA Scorpion fragment,7,4,,true,89,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,CarPart_Gun_SniperCrossbow_Piece,clmpbq6vp0000mtx4cyyep6et
90,,8,99,0,Loot Container,8,2,,true,90,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Chest_Rare,clmpbq6vp0000mtx4cyyep6et
91,,4,4,3,Twin wheel,73,6,,true,91,1,26,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,,-10,90,0,0,1620,0,CarPart_WheelDouble_R_epic,clmpbq6vp0000mtx4cyyep6et
92,,2,2,6,Mauler,69,3,,true,92,1,26,0,0,0,0,4.7,327,3,30,0,0,75,0,0,0,0,0,94,0,0,0,0,,0,825,0,0,0,0,CarPart_ChainSaw_epic,clmpbq6vp0000mtx4cyyep6et
93,,2,1,0,LM-54 Chord,18,1,,true,93,1,26,4.1,0,0,0,1.1,60,2,0,0,0,0,0,6.9,0,0,0,144,0,0,0,0,,0,170,3,5.6,0,0,CarPart_Gun_Machinegun,clmpbq6vp0000mtx4cyyep6et
94,,2,3,2,AD-12 Falcon,9,2,,true,94,1,26,0,0,0,0,0,126,3,0,0,0,0,0,0,0,0,0,128,0,4,0,0,,0,390,0,0,0,0,CarPart_Quadrocopter_rare,clmpbq6vp0000mtx4cyyep6et
96,,1,1,0,Docker,56,1,,true,96,1,26,0,7,0,6.5,0,390,0,0,0,0,0,0,0,0,0,0,2400,12000,0,60,0,,0,250,0,0,4000,0,Chassis_Gazelle,clmpbq6vp0000mtx4cyyep6et
99,,2,1,0,Avenger 57mm,6,1,,true,99,1,26,4.1,0,0,0,4.1,217,5,0,0,0,0,0,4.4,0,0,0,468,0,12,0,0,,0,425,7.1,0,0,0,CarPart_Gun_BigCannon_EX,clmpbq6vp0000mtx4cyyep6et
100,,3,3,4,Chameleon,28,6,,true,100,1,26,0,0,0,0,0,68,1,0,0,0,0,0,0,0,0,0,48,0,0,0,0,,0,190,0,0,0,0,CarPart_Stealth_epic,clmpbq6vp0000mtx4cyyep6et
101,,3,6,12,Apollo IV,14,4,,true,101,1,26,0,4,5.1,0,0,363,0,0,0,0,0,0,0,0,0,0,1152,0,0,0,0,,0,1600,0,0,0,0,CarPart_PowerGiver_legend,clmpbq6vp0000mtx4cyyep6et
104,,4,2,2,Studded wheel,75,2,,true,104,1,26,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,,-5,60,0,0,390,0,CarPart_WheelSmallSpiked,clmpbq6vp0000mtx4cyyep6et
105,,7,99,0,Material: Gold,10,4,,true,105,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Dye_Gold,clmpbq6vp0000mtx4cyyep6et
106,,8,99,0,Fuel x100,25,1,,true,106,100,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Res_Gasoline_100,clmpbq6vp0000mtx4cyyep6et
107,,3,1,0,B-1 Aviator,4,1,,true,107,1,26,0,0,0,0,0,23,1,0,0,0,0,0,0,60,0,0,32,0,0,0,0,,0,85,0,0,0,0,CarPart_Booster,clmpbq6vp0000mtx4cyyep6et
108,,3,1,0,R-2 Chill,64,2,,true,108,1,26,0,0,0,0,0,126,1,0,0,0,0,0,0,0,0,0,128,0,0,0,0,,0,130,0,0,0,0,CarPart_Radiator_rare,clmpbq6vp0000mtx4cyyep6et
109,,3,1,0,R-1 Breeze,64,1,,true,109,1,26,0,0,0,0,0,45,1,0,0,0,0,0,0,0,0,0,64,0,0,0,0,,0,85,0,0,0,0,CarPart_Radiator,clmpbq6vp0000mtx4cyyep6et
112,,3,3,3,Dun horse,12,6,,true,112,1,26,0,0,0,0,0,127,1,0,0,0,0,0,0,0,0,0,80,500,0,14,0,,15,190,0,0,2500,120,CarPart_Engine,clmpbq6vp0000mtx4cyyep6et
113,,4,4,2,Large wheel ST,73,2,,true,113,1,26,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,,-20,90,0,0,900,0,CarPart_WheelBig_RS_epic,clmpbq6vp0000mtx4cyyep6et
114,,8,99,0,Coupons x10,25,1,,true,114,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Res_Supply_10,clmpbq6vp0000mtx4cyyep6et
115,,7,99,0,Pattern: Will-o'-wisp,10,5,,true,115,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,pic_AlienSkin,clmpbq6vp0000mtx4cyyep6et
116,,4,4,2,Large wheel,73,2,,true,116,1,26,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,,-10,90,0,0,1650,0,CarPart_WheelBig_R_epic,clmpbq6vp0000mtx4cyyep6et
117,,3,4,7,Colossus,12,3,,true,117,1,30,0,0,0,0,0,333,1,0,0,0,0,0,0,0,0,0,450,2500,0,7,0,,50,275,0,0,0,120,CarPart_EngineMini_epic,clmpbq6vp0000mtx4cyyep6et
118,,8,99,0,Copper x1000,25,1,,true,118,1000,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Res_Platinum_1000,clmpbq6vp0000mtx4cyyep6et
119,,8,99,0,Coupons x100,25,1,,true,119,100,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Res_Supply_100,clmpbq6vp0000mtx4cyyep6et
120,,1,1,0,Huntsman,5,1,,true,120,1,26,0,8,0,3.8,0,275,0,0,0,0,0,0,0,0,0,0,700,7000,0,75,0,,0,250,0,0,3000,0,Chassis_FordPickup,clmpbq6vp0000mtx4cyyep6et
121,,4,2,2,Chained wheel,75,2,,true,121,1,26,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,,-6,90,0,0,540,0,CarPart_WheelSmallChains,clmpbq6vp0000mtx4cyyep6et
122,,3,3,7,Doppler,23,3,,true,122,1,26,0,0,0,0,0,431,1,0,0,0,0,0,0,0,0,0,384,0,0,0,0,,0,275,0,0,0,0,CarPart_RadarBig_epic,clmpbq6vp0000mtx4cyyep6et
123,,2,4,2,DT Cobra,30,2,,true,123,1,26,0,0,0,0,0,126,3,0,0,0,0,0,0,0,0,0,128,0,4,0,0,,0,390,0,0,0,0,CarPart_TurretDeployer_rare,clmpbq6vp0000mtx4cyyep6et
124,,2,4,6,RT Anaconda,30,3,,true,124,1,26,0,0,0,0,0,321,4,0,0,0,0,0,0,0,0,0,256,0,4,0,0,,0,1100,0,0,0,0,CarPart_TurretDeployerMissile_epic,clmpbq6vp0000mtx4cyyep6et
125,,7,99,0,Electron,10,2,,true,125,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Dye_Violet01,clmpbq6vp0000mtx4cyyep6et
126,,4,1,0,Small wheel ST,75,1,,true,126,1,26,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,,-12,40,0,0,210,0,CarPart_WheelSmall_RS,clmpbq6vp0000mtx4cyyep6et
127,,8,1,0,ML Porcupine fragment,7,4,,true,127,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,CarPart_Gun_MineLauncher_Piece,clmpbq6vp0000mtx4cyyep6et
128,,7,99,0,Material: Aluminium,10,5,,true,128,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Dye_Aircraft,clmpbq6vp0000mtx4cyyep6et
129,,3,2,1,Blastoff,4,2,,true,129,1,26,0,0,0,0,0,48,1,0,0,0,0,0,0,80,0,0,48,0,0,0,0,,0,130,0,0,0,0,CarPart_Booster_rare,clmpbq6vp0000mtx4cyyep6et
130,,6,99,0,Fender extender,2,6,,true,130,1,27,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,,0,20,0,0,0,0,CarPart_FenderFlare2,clmpbq6vp0000mtx4cyyep6et
131,,3,2,7,Hot red,12,3,,true,131,1,30,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,90,1000,0,13,0,,20,216,0,0,0,120,CarPart_Engine_v8,clmpbq6vp0000mtx4cyyep6et
132,,7,99,0,Material: Chrome,10,4,,true,132,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Dye_Chrome,clmpbq6vp0000mtx4cyyep6et
134,,6,99,0,Exhaust 2,2,6,,true,134,1,27,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,,0,20,0,0,0,0,CarPart_Exhaust2,clmpbq6vp0000mtx4cyyep6et
136,,3,4,8,RD-2 Keen,23,3,,true,136,1,26,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,,0,216,0,0,0,0,CarPart_RadarSmall_epic,clmpbq6vp0000mtx4cyyep6et
137,,8,99,0,Fuel x1000,25,1,,true,137,1000,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Res_Gasoline_1000,clmpbq6vp0000mtx4cyyep6et
138,,6,99,0,Outer fender,2,2,,true,138,1,27,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,,0,15,0,0,0,0,CarPart_FenderSolidOutside_rare,clmpbq6vp0000mtx4cyyep6et
139,,3,1,0,Fuel barrel,27,1,,true,139,1,26,0,0,2.6,0,0,56,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,,0,56,0,0,0,0,CarPart_Barrel,clmpbq6vp0000mtx4cyyep6et
141,,7,99,0,Pattern: Lightning,10,5,,true,141,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,pic_Electric01,clmpbq6vp0000mtx4cyyep6et
142,,3,3,3,Maxwell,23,6,,true,142,1,26,0,0,0,0,0,327,1,0,0,0,0,0,0,0,0,0,288,0,0,0,0,,0,190,0,0,0,0,CarPart_RadarBig_rare,clmpbq6vp0000mtx4cyyep6et
143,,3,2,6,Hermes,4,3,,true,143,1,26,0,0,0,0,0,129,1,0,0,0,0,0,0,100,0,0,108,0,0,0,0,,0,275,0,0,0,0,CarPart_Booster_epic,clmpbq6vp0000mtx4cyyep6et
144,,7,99,0,Khaki 1,10,1,,true,144,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Dye_Khaki01,clmpbq6vp0000mtx4cyyep6et
145,,7,99,0,Pattern: Flame,10,5,,true,145,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,pic_Flames01,clmpbq6vp0000mtx4cyyep6et
148,,7,99,0,Pattern: Digital Desert,10,5,,true,148,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,pic_CamouflageDesert,clmpbq6vp0000mtx4cyyep6et
149,,7,99,0,Pattern: Danger!,10,3,,true,149,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Dye_DangerStripes,clmpbq6vp0000mtx4cyyep6et
150,,7,99,0,Material: Quartz,10,5,,true,150,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,metal_AlienColor,clmpbq6vp0000mtx4cyyep6et
